order_id,customer_id,order_ts,status,payment_method,total_amount,currency,arq_data_ingest,data_carga,sales_channel
O2000061,C00062,2025-12-02T04:20:00.000Z,paid,pix,197.70,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000062,C00098,2025-12-02T07:39:00.000Z,cancelled,boleto,273.60,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O2000064,C00105,2025-12-02T15:18:00.000Z,shipped,credit_card,367.38,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000077,C00039,2025-12-02T21:39:00.000Z,paid,debit_card,191.45,BRL,2025-12-02,2026-03-28T22:53:58.607Z,app
O000021,C00116,2025-12-01T15:58:00.000Z,Não informado,credit_card,85.51,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000026,C00114,2025-12-01T12:11:00.000Z,created,credit_card,319.84,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000041,C00044,2025-12-01T14:36:00.000Z,paid,pix,169.75,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000049,C00079,2025-12-01T21:02:00.000Z,delivered,boleto,0.00,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000058,C00042,2025-12-01T01:44:00.000Z,delivered,credit_card,63.02,brl,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000066,C00077,2025-12-01T11:48:00.000Z,shipped,credit_card,48.97,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000089,C00097,2025-12-01T04:09:00.000Z,shipped,boleto,164.56,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O2000009,C00017,2025-12-02T08:51:00.000Z,delivered,pix,58.10,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000010,C00068,2025-12-02T15:55:00.000Z,delivered,credit_card,66.33,BRL,2025-12-02,2026-03-28T22:53:58.607Z,marketplace
O2000025,C00050,2025-12-02T21:09:00.000Z,created,pix,49.93,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000059,C00091,2025-12-02T19:46:00.000Z,delivered,PIX,396.76,BRL,2025-12-02,2026-03-28T22:53:58.607Z,Não informado
O2000060,C00102,2025-12-02T20:52:00.000Z,shipped,pix,141.36,BRL,2025-12-02,2026-03-28T22:53:58.607Z,web
O2000087,C00083,2025-12-02T20:27:00.000Z,shipped,credit_card,643.19,BRL,2025-12-02,2026-03-28T22:53:58.607Z,WEB
O000008,C00060,2025-12-01T19:05:00.000Z,cancelled,Não informado,0.00,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000015,C00075,2025-12-01T08:59:00.000Z,DELIVERED,pix,449.47,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000020,C00054,2025-12-01T08:21:00.000Z,shipped,credit_card,114.82,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000054,C00040,2025-12-01T20:40:00.000Z,cancelled,pix,655.76,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000067,C00107,2025-12-01T12:50:00.000Z,delivered,boleto,327.21,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000094,C00026,2025-12-01T22:09:00.000Z,shipped,credit_card,386.35,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
O000097,C00097,2025-12-01T03:55:00.000Z,paid,debit_card,344.62,BRL,2025-12-01,2026-03-28T22:51:57.245Z,Não informado
